.model_id,.model_desc,.key,.index,.value,date,page_views,page_views_lag28,page_views_lag28_roll_28,page_views_lag28_roll_56,page_views_lag28_roll_84,date_sin28_K1,date_cos28_K1,date_sin56_K1,date_cos56_K1,date_sin84_K1,date_cos84_K1,id
NA,ACTUAL,actual,2022-11-01,343,2022-11-01,343,296,277.57142857142856,255.08928571428572,241.32142857142858,0.9009688679024653,0.43388373911746214,-0.5320320765153816,-0.8467241992282558,-0.9888308262251,-0.14904226617636415,1
NA,ACTUAL,actual,2022-11-02,333,2022-11-02,333,276,281.67857142857144,257.57142857142856,242.57142857142858,0.9749279121817948,0.22252093395644088,-0.6234898018586829,-0.7818314824680703,-0.9972037971811599,-0.07473009358669412,1
NA,ACTUAL,actual,2022-11-03,334,2022-11-03,334,315,283.42857142857144,260.2857142857143,244.07142857142858,1,3.659931704358904e-13,-0.7071067811864181,-0.7071067811866769,-1,-1.2199772347863016e-13,1
NA,ACTUAL,actual,2022-11-04,242,2022-11-04,242,305,287.57142857142856,262.01785714285717,245.83333333333334,0.9749279121819576,-0.22252093395572725,-0.7818314824678421,-0.623489801858969,-0.9972037971811951,0.07473009358622407,1
NA,ACTUAL,actual,2022-11-05,143,2022-11-05,143,172,289.14285714285717,262.57142857142856,246.89285714285714,0.9009688679023883,-0.43388373911762207,-0.846724199228303,-0.5320320765153066,-0.9888308262251702,0.14904226617589808,1
NA,ACTUAL,actual,2022-11-06,219,2022-11-06,219,213,290.9642857142857,264.375,248.11904761904762,0.7818314824681329,-0.6234898018586043,-0.9009688679023833,-0.43388373911763256,-0.9749279121818527,0.2225209339561868,1
NA,ACTUAL,actual,2022-11-07,406,2022-11-07,406,377,292.39285714285717,268.05357142857144,250.58333333333334,0.6234898018590475,-0.7818314824677794,-0.9438833303083013,-0.3302790619553566,-0.9555728057862025,0.29475517441070387,1
NA,ACTUAL,actual,2022-11-08,271,2022-11-08,271,388,295.0357142857143,269.10714285714283,252.22619047619048,0.4338837391173133,-0.9009688679025369,-0.9749279121818538,-0.22252093395618197,-0.9308737486443096,0.36534102436612653,1
NA,ACTUAL,actual,2022-11-09,300,2022-11-09,300,403,292.39285714285717,270.07142857142856,252.8452380952381,0.22252093395627986,-0.9749279121818315,-0.9937122098932446,-0.11196447610329026,-0.9009688679024798,0.43388373911743217,1
NA,ACTUAL,actual,2022-11-10,283,2022-11-10,283,383,293.42857142857144,271.30357142857144,252.70238095238096,2.008532167116245e-13,-1,-1,-1.0042660835581225e-13,-0.866025403784548,0.4999999999998107,1
NA,ACTUAL,actual,2022-11-11,255,2022-11-11,255,243,292.14285714285717,272.94642857142856,253.5952380952381,-0.22252093395588826,-0.9749279121819209,-0.993712209893267,0.11196447610309068,-0.8262387743161623,0.5633200580633764,1
NA,ACTUAL,actual,2022-11-12,204,2022-11-12,204,213,291.67857142857144,274.4642857142857,254.77380952380952,-0.4338837391177709,-0.9009688679023167,-0.9749279121817973,0.2225209339564295,-0.7818314824681225,0.6234898018586172,1
NA,ACTUAL,actual,2022-11-13,209,2022-11-13,209,273,292.0357142857143,274.44642857142856,255.98809523809524,-0.6234898018587334,-0.7818314824680299,-0.9438833303083676,0.33027906195516704,-0.733051871829981,0.6801727377707527,1
NA,ACTUAL,actual,2022-11-14,338,2022-11-14,338,343,290.7142857142857,276.51785714285717,257.73809523809524,-0.7818314824678824,-0.6234898018589184,-0.9009688679024704,0.43388373911745165,-0.6801727377711438,0.7330518718296181,1
NA,ACTUAL,actual,2022-11-15,358,2022-11-15,358,344,292.39285714285717,278.67857142857144,259.7142857142857,-0.9009688679022141,-0.43388373911798395,-0.8467241992284099,0.5320320765151364,-0.6234898018588567,0.7818314824679315,1
NA,ACTUAL,actual,2022-11-16,330,2022-11-16,330,365,294.42857142857144,280.10714285714283,261.1547619047619,-0.9749279121818683,-0.22252093395611888,-0.7818314824679673,0.6234898018588119,-0.5633200580638172,0.8262387743158618,1
NA,ACTUAL,actual,2022-11-17,318,2022-11-17,318,288,295.10714285714283,281.51785714285717,263.51190476190476,-1,-3.5713262987358586e-14,-0.7071067811865601,0.7071067811865349,-0.5000000000002728,0.8660254037842812,1
NA,ACTUAL,actual,2022-11-18,284,2022-11-18,284,329,292.85714285714283,282.7857142857143,264.93975903614455,-0.9749279121818841,0.22252093395604924,-0.6234898018588398,0.7818314824679451,-0.4338837391177081,0.9009688679023469,1
NA,ACTUAL,actual,2022-11-19,186,2022-11-19,186,164,291.82142857142856,283.9642857142857,266.8048780487805,-0.9009688679026396,0.4338837391171002,-0.5320320765155517,0.8467241992281489,-0.3653410243666233,0.9308737486441147,1
NA,ACTUAL,actual,2022-11-20,212,2022-11-20,212,266,292.0357142857143,283.9107142857143,268.641975308642,-0.781831482467927,0.6234898018588625,-0.4338837391174838,0.9009688679024549,-0.2947551744112138,0.9555728057860452,1
NA,ACTUAL,actual,2022-11-21,350,2022-11-21,350,284,293.07142857142856,285.80357142857144,269.5,-0.6234898018587892,0.7818314824679854,-0.3302790619552007,0.9438833303083558,-0.22252093395648537,0.9749279121817845,1
NA,ACTUAL,actual,2022-11-22,284,2022-11-22,284,362,288.89285714285717,285.73214285714283,270.2278481012658,-0.4338837391178352,0.9009688679022857,-0.2225209339564643,0.9749279121817894,-0.14904226617642571,0.9888308262250907,1
NA,ACTUAL,actual,2022-11-23,233,2022-11-23,233,302,285.2142857142857,283.17857142857144,270.53846153846155,-0.22252093395684458,0.9749279121817026,-0.11196447610357806,0.9937122098932122,-0.07473009358675617,0.9972037971811553,1
NA,ACTUAL,actual,2022-11-24,207,2022-11-24,207,353,281.64285714285717,281.0892857142857,271.27272727272725,1.2942669073690735e-13,1,6.471334536845367e-14,1,-1.8423144519759628e-13,1,1
NA,ACTUAL,actual,2022-11-25,209,2022-11-25,209,217,282.07142857142856,280.30357142857144,272.69736842105266,0.22252093395621025,0.9749279121818474,0.11196447610325477,0.9937122098932486,0.074730093586162,0.9972037971811998,1
NA,ACTUAL,actual,2022-11-26,177,2022-11-26,177,143,281.75,280.67857142857144,274.74666666666667,0.43388373911724903,0.900968867902568,0.22252093395614717,0.9749279121818618,0.14904226617583652,0.9888308262251795,1
