page,query,country,date,country_name,clicks,impressions,ctr,position
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,export summary table in r,aus,2020-08-30,Australia,0,1,0,7
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,export summary table in r,fra,2020-09-01,France,0,1,0,9
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,export summary table in r,isr,2020-09-01,Israel,0,1,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,export summary table in r,usa,2020-08-30,United States,0,2,0,8.5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,gdppercap,kor,2020-09-02,"Korea, Republic of",0,1,0,60
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,get descriptive statistics in r,usa,2020-08-30,United States,0,1,0,40
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,get summary stats in r,twn,2020-09-03,"Taiwan, Province of China",0,1,0,12
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,getdescriptionstatsby,cze,2020-09-03,Czech Republic,0,1,0,26
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,ggplot descriptive statistics,phl,2020-09-04,Philippines,0,1,0,73
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,ggplot descriptive statistics,twn,2020-09-02,"Taiwan, Province of China",0,1,0,79
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,group by r,sdn,2020-09-02,Sudan,0,1,0,82
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,group data by year in r,col,2020-08-31,Colombia,0,1,0,81
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,group data by year in r,irn,2020-09-02,"Iran, Islamic Republic of",0,1,0,74
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,group data by year in r,pak,2020-09-04,Pakistan,0,1,0,74
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,group data by year in r,prt,2020-09-01,Portugal,0,1,0,76
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,group data by year in r,tha,2020-09-02,Thailand,0,1,0,74
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to create a data table in r,mar,2020-08-30,Morocco,0,1,0,50
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to create a dataset in rstudio,lva,2020-08-30,Latvia,0,1,0,65
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to create a summary table in excel,aus,2020-09-01,Australia,0,1,0,80
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to create a summary table in r,aus,2020-09-04,Australia,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to create a summary table in r,usa,2020-09-01,United States,0,1,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to create a summary table in r,usa,2020-09-04,United States,0,1,0,5
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to create a table in r markdown,ukr,2020-08-30,Ukraine,0,1,0,53
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to do group by in r,bra,2020-09-02,Brazil,0,1,0,98
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to do summary statistics in r,aus,2020-09-03,Australia,0,1,0,10
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to do summary statistics in r,usa,2020-08-31,United States,0,1,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to do summary statistics in r,usa,2020-09-01,United States,0,1,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to do summary statistics in r,usa,2020-09-02,United States,0,3,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to do summary statistics in r,usa,2020-09-03,United States,0,1,0,12
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to get summary statistics in r,ind,2020-08-30,India,0,1,0,11
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to group data in r,zaf,2020-09-02,South Africa,0,1,0,89
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a data table in r,bra,2020-08-30,Brazil,0,1,0,64
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,can,2020-08-30,Canada,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,chn,2020-09-03,China,0,1,0,4
https://thatdatatho.com/easily-create-descriptive-summary-statistic-tables-r-studio/,how to make a summary statistics table in r,gbr,2020-09-01,United Kingdom,0,1,0,5
